title,author,fandom,rating,words,ships,tags
Midnight Blue,mintsoda,BTS,Teen And Up Audiences,8102,,
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,Min Yoongi Suga/Park Jimin,
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,Alternate Universe - Soulmates
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,famous!jimin
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,CollegeStudent!Yoongi
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,chat fic/prose hybrid
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,Texting
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,Muteness
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,Light Angst
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,Allusions to self-harm and suicidal thoughts
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,Only mentioned though
Midnight Blue,mintsoda,,Teen And Up Audiences,8102,,Fluff
Marks,Redhead33,BTS,Mature,45583,,
Marks,Redhead33,,Mature,45583,Min Yoongi Suga/Park Jimin$Kim Namjoon Rap Monster/Kim Seokjin Jin$Jeon Jungkook/Kim Taehyung V,
Marks,Redhead33,,Mature,45583,,Alternate Universe - Soulmates
Marks,Redhead33,,Mature,45583,,Soulmates
Marks,Redhead33,,Mature,45583,,i hope you enjoy
Marks,Redhead33,,Mature,45583,,Alternate Universe - College/University
Marks,Redhead33,,Mature,45583,,Artist Jimin
Marks,Redhead33,,Mature,45583,,Alternate Universe - Art School
Marks,Redhead33,,Mature,45583,,a few taekook chapters
Marks,Redhead33,,Mature,45583,,namjin is only mentioned a few times
Marks,Redhead33,,Mature,45583,,hoseok is barely in this
Marks,Redhead33,,Mature,45583,,im so sorry i did him wrong
Marks,Redhead33,,Mature,45583,,Fluffy Ending
Marks,Redhead33,,Mature,45583,,the last chapter has smut
Marks,Redhead33,,Mature,45583,,SO
Marks,Redhead33,,Mature,45583,,Smut
Marks,Redhead33,,Mature,45583,,warnings for that chapter:
Marks,Redhead33,,Mature,45583,,Praise Kink
Marks,Redhead33,,Mature,45583,,(honestly is it yoonmin smut without jimin having a praise kink
Marks,Redhead33,,Mature,45583,,Top Yoongi
Marks,Redhead33,,Mature,45583,,blowjob
Marks,Redhead33,,Mature,45583,,Lots of kissing
Marks,Redhead33,,Mature,45583,,small dominance kink
Marks,Redhead33,,Mature,45583,,idk its my first time writing smut
deny; denied,exarite,BTS,Explicit,5007,,
deny; denied,exarite,,Explicit,5007,Jeon Jungkook/Min Yoongi Suga,
deny; denied,exarite,,Explicit,5007,,Alpha/Beta/Omega Dynamics
deny; denied,exarite,,Explicit,5007,,Omega Jeon Jungkook
deny; denied,exarite,,Explicit,5007,,Alpha Min Yoongi Suga
deny; denied,exarite,,Explicit,5007,,Mating Cycles/In Heat
deny; denied,exarite,,Explicit,5007,,Love Confessions
