web-scraper-order,web-scraper-start-url,links,links-href,title,author,rating,words,chapters,tags,tags-href,pages,pages-href
1670648118-3452,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,Slow Burn,https://archiveofourown.org/tags/Slow%20Burn/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3453,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,Pining,https://archiveofourown.org/tags/Pining/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3454,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,Unrequited Lust,https://archiveofourown.org/tags/Unrequited%20Lust/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3455,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,george is a dense sweetie,https://archiveofourown.org/tags/george%20is%20a%20dense%20sweetie/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3456,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,Secret Crush,https://archiveofourown.org/tags/Secret%20Crush/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3457,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,you know when you hear a song and it fits so perfectly you listen to it 30 times in a row?,https://archiveofourown.org/tags/you%20know%20when%20you%20hear%20a%20song%20and%20it%20fits%20so%20perfectly%20you%20listen%20to%20it%2030%20times%20in%20a%20row*q*/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3458,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,glass animals - Freeform,https://archiveofourown.org/tags/glass%20animals%20-%20Freeform/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3459,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,florida boy is melting,https://archiveofourown.org/tags/florida%20boy%20is%20melting/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3460,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,Confessions,https://archiveofourown.org/tags/Confessions/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3461,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,Separations,https://archiveofourown.org/tags/Separations/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3462,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,Other Additional Tags to Be Added,https://archiveofourown.org/tags/Other%20Additional%20Tags%20to%20Be%20Added/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3463,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,no beta we die like men,https://archiveofourown.org/tags/no%20beta%20we%20die%20like%20men/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3464,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,lol i saw that tag on another fic,https://archiveofourown.org/tags/lol%20i%20saw%20that%20tag%20on%20another%20fic/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3465,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,sexy dreams causing conscious panic is my fav trope,https://archiveofourown.org/tags/sexy%20dreams%20causing%20conscious%20panic%20is%20my%20fav%20trope/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648118-3466,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,heat waves,https://archiveofourown.org/works/27600505,heat waves,Oceanya,Explicit,54195,12-Dec,Nightmares,https://archiveofourown.org/tags/Nightmares/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3469,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,BDSM,https://archiveofourown.org/tags/BDSM/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3470,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Teacher-Student Relationship,https://archiveofourown.org/tags/Teacher-Student%20Relationship/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3471,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Daddy Kink,https://archiveofourown.org/tags/Daddy%20Kink/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3472,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Bondage,https://archiveofourown.org/tags/Bondage/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3473,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Handcuffs,https://archiveofourown.org/tags/Handcuffs/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3474,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Smut,https://archiveofourown.org/tags/Smut/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3475,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Dom/sub,https://archiveofourown.org/tags/Dom*s*sub/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
